Stump,Amount of say,Caracteristica,Valor,Prediction div 1 menor que valor,Prediction div 2 mayor que valor
0,0.005215304467631979,2,-0.068166387371673,1,1
1,-0.003374590987464113,2,-0.098881825047657,1,1
2,0.001840681084838725,2,-0.1073886260774663,1,1
3,0.007823045361961364,2,-0.0241220336110945,1,1
4,-0.0021985923552798508,2,-0.0232954964829541,1,1
