Stump,Amount of say,Caracteristica,Valor,Prediction div 1 menor que valor,Prediction div 2 mayor que valor
0,0.005215304467631979,3,-0.068166387371673,1,1
1,-0.0032723299130904228,3,-0.098557732082924,1,1
2,-0.004550598953626517,3,-0.0951902451748698,1,1
3,0.002147462141440325,3,-0.0975826683593397,1,1
4,-0.0028121558944662617,3,-0.0241220336110945,1,1
