Stump,Amount of say,Caracteristica,Valor,Prediction div 1 menor que valor,Prediction div 2 mayor que valor
0,0.8128000648228979,1,-0.0679262834497291,0,1
1,0.2668718888942418,0,-0.0302604006876991,0,1
2,0.3253051298893325,2,0.090859521480533,1,1
3,0.2946172554439367,2,-0.1966845063673737,1,0
4,0.09559641614062178,0,0.636151756293642,1,1
