Stump,Amount of say,Caracteristica,Valor,Prediction div 1 menor que valor,Prediction div 2 mayor que valor
0,0.8128000648228979,5,-0.0679262834497291,0,1
1,0.2278639020925396,4,0.0758377077541786,0,1
2,0.33178610456349483,7,0.0894968186693515,1,1
3,0.17457131467328504,5,0.532687583931533,0,1
4,0.303439990537261,7,0.2979619796628794,1,0
5,0.253968059007099,4,-0.4085828938568561,0,1
