Stump,Amount of say,Caracteristica,Valor,Prediction div 1 menor que valor,Prediction div 2 mayor que valor
0,0.8128000648228979,3,-0.0679262834497291,0,1
1,0.22867151344560152,2,0.0758377077541786,1,1
2,0.33697886140081956,2,0.0806439940750135,0,1
3,0.22737947556462004,5,-0.0735345911438875,1,0
4,0.33840850453651733,3,-0.5997669537526201,0,1
5,0.2494496632740761,3,-0.0699119199482964,1,0
